ID,Time,Pickup,Dropoff,Duration,Fare
R185,15,8,8,3,6.0
R253,15,56,34,16,30.0
R245,16,8,32,4,6.5
R373,16,28,8,3,6.75
R225,16,8,28,17,13.0
R224,16,8,8,6,6.9
R292,16,32,7,12,14.0
R298,16,28,28,2,4.25
R212,16,76,32,23,58.8
R366,16,8,32,5,9.75
R365,16,6,8,20,17.75
R386,16,8,22,20,21.0
R276,16,8,8,5,7.25
R285,16,76,8,23,52.75
R238,16,8,8,5,5.25
R302,16,32,29,13,17.75
R250,17,76,5,21,46.5
R353,17,76,5,17,44.5
R333,17,8,8,9,8.0
R306,17,76,32,24,59.2
R242,17,8,28,10,12.25
R370,17,8,8,8,12.0
R320,17,32,31,11,12.25
R217,17,32,8,23,45.3
R387,17,5,6,9,9.5
R383,17,76,8,26,55.8
R228,17,8,8,1,22.5
R307,18,24,24,105,49.75
R209,18,8,8,2,6.25
R359,18,32,24,9,8.0
R341,18,8,8,5,6.5
R218,18,8,7,8,9.0
R330,18,56,6,22,54.3
R323,18,8,33,11,9.5
R287,18,24,33,10,14.75
R236,18,32,8,5,10.0
R239,18,28,8,8,11.5
R246,19,32,8,7,7.0
R338,19,8,24,6,6.5
R294,19,32,8,4,8.5
R308,19,76,32,25,62.07
R207,19,8,8,8,13.0
R352,19,7,8,5,7.0
R268,19,8,59,13,17.75
R311,19,8,32,3,6.0
R362,19,32,31,31,43.5
R261,19,32,32,3,5.0
R367,19,43,49,15,3.25
R234,19,4,2,5,7.75
R316,19,8,32,7,10.5
R322,19,76,8,24,55.49
R248,19,32,34,8,8.75
R342,20,76,76,1,7.75
R252,20,28,32,9,11.0
R349,20,28,28,3,5.5
R355,20,76,5,20,42.25
R277,20,32,22,14,22.2
R269,20,56,8,21,37.25
R372,20,8,24,10,11.5
R319,20,8,8,6,9.75
R361,20,32,7,7,12.35
R299,20,24,24,4,5.5
R332,20,34,4,25,35.25
R230,20,8,1,15,21.75
R223,21,8,6,11,15.0
R288,21,8,28,6,9.5
R286,21,56,8,25,38.5
R297,21,28,32,7,11.5
R266,21,8,32,6,7.0
R208,21,8,8,6,7.0
R368,21,32,32,2,7.25
R354,21,8,6,10,16.75
R215,21,76,2,31,50.4
R340,21,28,6,30,19.5
R374,21,56,32,19,44.7
R343,22,8,33,12,12.0
R337,22,32,32,5,9.75
R324,22,34,24,10,22.6
R279,22,76,22,16,40.25
R278,22,8,28,21,20.75
R350,22,8,8,12,13.0
R327,22,8,28,17,13.5
R237,22,76,7,27,44.75
R235,22,16,16,3,5.0
R231,22,32,32,4,9.75
R326,22,8,32,8,8.75
R385,22,76,32,30,61.3
R216,22,56,60,20,31.25
R211,22,32,28,11,16.0
R309,22,8,32,4,6.75
R318,23,8,24,10,14.8
R317,23,8,8,5,7.5
R325,23,8,3,15,19.25
R221,23,28,32,5,6.5
R222,23,32,8,3,7.0
R380,23,76,8,30,47.0
R280,23,32,28,2,6.25
R244,23,8,7,6,11.75
R256,23,76,6,27,50.1
R251,24,28,32,5,9.0
R219,24,32,8,9,13.0
R227,24,8,8,8,12.0
R214,24,32,22,11,17.7
R358,24,76,32,26,60.31
R348,24,32,8,7,10.5
R345,24,24,32,11,12.75
R344,24,7,32,10,11.75
R290,24,24,24,1,3.25
R291,24,8,32,7,7.5
R255,24,32,8,6,11.25
R339,25,5,6,5,6.75
R378,25,32,34,4,13.0
R382,25,32,8,7,9.0
R384,25,8,8,3,8.5
R335,25,28,8,11,12.1
R334,25,8,24,7,8.0
R226,25,56,16,23,57.3
R210,25,8,8,4,8.0
R314,25,6,6,3,6.75
R213,25,28,4,18,26.25
R274,25,32,24,10,12.75
R240,25,8,32,4,9.0
R284,25,76,24,24,51.0
R247,25,8,24,8,7.75
R259,25,24,77,19,25.0
R275,25,8,77,15,19.25
R296,25,32,32,4,5.0
R263,25,32,35,14,13.25
R272,26,8,3,13,26.0
R357,26,56,3,28,52.25
R264,26,76,8,27,59.51
R260,26,8,8,1,3.25
R262,26,28,28,16,11.75
R376,26,32,22,10,17.1
R377,26,8,32,4,6.5
R381,26,76,24,20,53.5
R364,26,76,32,22,49.0
R281,26,32,67,23,29.75
R315,26,28,32,9,10.25
R312,26,8,8,6,6.25
R304,26,8,32,8,7.0
R283,26,8,8,1,44.25
R336,26,8,32,6,7.5
R379,27,32,5,9,19.8
R254,27,76,6,29,64.38
R241,27,32,8,5,10.75
R293,27,8,8,8,8.75
R360,27,8,32,7,9.5
R265,27,7,7,4,4.75
R232,27,56,20,29,44.75
R270,27,28,7,12,11.5
R271,27,18,18,1,10.0
R346,27,32,8,15,13.0
R351,27,28,34,8,17.87
R305,28,56,8,22,36.5
R371,28,8,7,13,16.25
R375,28,6,21,14,14.25
R369,28,11,11,4,7.0
R328,28,8,8,3,10.0
R303,28,8,32,8,11.0
R313,28,28,32,10,12.0
R363,28,7,6,8,8.0
R295,28,32,28,14,12.0
R267,28,8,8,1,53.2
R321,28,28,32,10,10.5
R233,28,8,8,10,10.25
R229,29,8,6,8,13.3
R282,29,8,33,24,18.75
R220,29,8,8,9,10.25
R347,29,6,6,3,3.25
R258,29,28,8,11,11.8
R301,29,8,33,9,12.3
R273,29,8,8,5,6.75
R289,29,4,4,7,6.25
R331,30,32,32,4,6.0
R257,30,29,29,1,12.25
R479,30,8,7,7,8.5
R300,30,32,35,12,12.5
R396,30,8,8,5,9.0
R483,31,28,8,8,9.75
R463,31,21,4,11,11.75
R431,31,76,8,20,56.8
R502,31,76,24,22,52.5
R508,31,7,7,3,5.75
R391,31,16,14,1,4.0
R481,31,8,7,8,11.0
R518,31,8,24,10,10.0
R451,32,8,8,6,6.5
R461,32,32,28,7,7.5
R448,32,76,10,9,20.5
R472,32,6,5,9,8.5
R407,32,28,8,13,11.25
R485,32,32,32,2,6.5
R422,33,32,24,6,11.5
R413,33,76,6,31,49.5
R420,33,8,8,3,6.25
R412,33,8,32,4,9.0
R482,33,28,24,8,13.55
R447,33,76,8,32,63.25
R493,33,8,8,5,8.0
R509,33,32,8,9,11.75
R517,33,56,56,1,3.25
R478,33,4,2,7,9.5
R419,33,76,22,17,42.1
R427,34,32,8,5,8.05
R470,34,76,8,23,58.9
R433,34,16,6,18,16.0
R439,34,76,8,23,53.25
R425,34,32,7,7,11.0
R504,34,76,8,37,53.5
R401,34,8,32,7,9.75
R484,34,8,32,5,7.75
R414,35,28,8,6,8.5
R516,35,28,32,6,6.25
R473,35,8,24,6,8.25
R499,35,56,56,1,3.25
R495,35,76,6,29,54.15
R416,35,8,32,5,5.75
R510,36,76,16,15,35.25
R434,36,8,32,5,8.25
R500,36,8,8,6,5.5
R477,36,3,4,8,8.0
R404,36,8,7,9,11.25
R490,36,8,8,6,10.5
R475,36,8,28,5,8.75
R467,36,8,8,6,12.0
R453,37,8,8,3,7.0
R487,37,8,7,10,8.25
R449,37,28,8,5,8.5
R514,37,76,3,26,43.0
R445,37,28,28,4,7.0
R497,37,8,8,5,7.0
R392,37,32,22,12,22.19
R417,37,7,7,4,7.5
R426,37,8,19,25,28.0
R398,37,76,19,22,33.0
R394,37,8,8,2,7.75
R430,37,76,6,23,44.25
R410,37,6,8,9,13.75
R465,38,32,32,4,6.5
R424,38,76,28,19,51.75
R458,38,32,5,10,15.25
R486,38,32,32,1,3.25
R468,38,56,8,19,39.0
R421,39,28,38,12,17.25
R388,39,32,22,14,24.3
R511,39,3,24,18,18.5
R488,39,76,5,22,43.7
R457,39,76,24,19,48.5
R494,39,28,34,10,9.5
R492,39,76,32,23,60.3
R460,39,8,33,13,15.75
R408,39,28,24,6,8.0
R464,39,8,32,2,4.5
R393,39,8,32,4,5.75
R452,39,8,8,1,6.75
R441,40,32,22,13,20.5
R480,40,8,32,6,10.5
R496,40,32,8,8,11.0
R400,40,24,24,2,4.25
R498,40,8,8,3,8.25
R403,40,32,32,3,5.25
R428,41,32,8,7,10.0
R471,41,76,24,19,48.5
R462,41,6,33,17,19.5
R456,41,56,20,45,37.0
R406,41,8,16,18,22.0
R397,41,76,8,19,56.1
R436,41,77,77,5,6.5
R506,41,24,8,22,55.8
R415,41,17,15,6,5.75
R512,42,8,8,5,6.0
R515,42,28,7,13,13.26
R390,42,32,8,7,6.75
R429,42,8,7,10,16.6
R435,42,32,7,13,17.2
R476,42,32,8,17,10.5
R423,42,8,32,4,8.75
R444,42,8,24,11,10.0
R446,42,76,7,21,49.2
R440,42,76,32,24,58.9
R454,43,8,8,3,4.5
R455,43,76,3,23,52.32
R507,43,8,8,6,8.25
R432,43,8,32,5,7.25
R411,43,49,39,16,22.5
R389,43,76,76,1,7.75
R474,43,32,32,1,3.25
R491,43,56,77,32,51.75
R513,43,28,7,8,12.25
R466,43,8,32,8,8.5
R395,43,8,22,12,15.9
R438,44,32,8,4,7.5
R437,44,32,8,10,12.75
R399,44,8,8,6,7.5
R409,44,76,28,25,49.25
R469,44,8,8,7,8.75
R405,44,22,6,11,11.25
R489,44,8,8,9,11.75
R505,44,32,28,3,6.75
R418,44,8,3,12,21.88
R608,45,8,8,1,3.25
R442,45,8,8,3,6.5
R533,45,4,14,2,6.0
R443,45,6,6,3,7.25
R503,45,76,33,27,63.9
R450,45,7,22,7,8.0
R459,45,28,32,8,13.75
R402,45,32,32,4,7.75
R577,45,8,8,9,10.25
R501,45,32,33,2,7.25
R530,46,76,32,27,50.75
R635,46,32,24,9,14.4
R542,46,8,8,10,7.25
R545,46,8,60,15,25.25
R519,46,8,8,3,4.75
R557,46,8,8,2,5.25
R540,46,8,8,4,6.0
R594,46,28,28,9,9.0
R567,46,25,9,31,29.0
R529,47,11,14,7,8.0
R541,47,28,8,8,7.25
R596,47,32,28,7,8.0
R597,47,8,6,11,11.25
R623,47,8,6,9,15.9
R585,48,8,28,3,9.5
R583,48,6,8,7,13.25
R633,48,32,33,7,11.0
R609,48,32,32,5,6.0
R601,48,76,8,19,53.25
R634,48,24,22,11,12.75
R602,48,32,8,5,8.25
R641,48,6,6,3,5.25
R574,49,24,20,12,16.0
R535,49,32,8,6,10.75
R580,49,8,8,4,4.75
R598,49,76,17,17,25.5
R531,49,32,7,14,16.5
R586,49,8,24,7,11.5
R568,50,28,6,15,20.25
R616,50,7,6,3,7.75
R571,50,22,16,8,9.25
R522,50,7,7,5,9.25
R587,50,8,28,5,8.75
R611,50,32,5,10,18.85
R550,50,76,8,23,60.0
R603,50,8,21,15,18.5
R588,50,32,22,11,17.8
R544,50,32,8,5,9.75
R610,50,8,8,4,5.5
R554,50,22,7,4,6.5
R607,50,32,8,3,7.5
R564,51,8,32,9,11.5
R589,51,8,8,1,3.25
R539,51,8,8,5,9.5
R624,51,8,8,7,11.0
R625,51,32,7,12,11.25
R526,51,76,75,50,93.0
R565,52,8,8,5,7.75
R639,52,76,8,26,58.3
R556,52,8,3,7,16.6
R643,52,8,24,8,11.0
R591,52,8,8,3,6.5
R543,52,8,8,6,8.0
R559,52,76,33,24,62.8
R581,53,32,6,11,15.4
R584,53,14,33,16,37.6
R600,53,8,33,12,14.5
R636,53,32,32,2,4.0
R525,53,8,8,4,8.5
R619,53,6,8,9,12.75
R552,53,8,8,3,4.5
R578,53,8,33,14,18.0
R547,53,8,8,1,6.0
R520,54,76,24,22,49.5
R527,54,8,8,10,16.05
R638,54,32,8,4,8.25
R637,54,28,8,10,11.8
R612,54,76,7,23,52.3
R618,54,8,58,27,24.0
R566,54,76,76,17,28.5
R615,54,8,8,7,8.75
