ID,Time,Pickup,Dropoff,Duration,Fare
R8,14,28,8,8,9.25
R20,14,7,8,6,11.5
R37,14,8,8,3,7.0
R85,14,32,56,21,31.5
R95,14,32,32,54,21.0
R104,14,8,7,8,8.0
R14,14,28,8,7,7.0
R142,14,28,8,7,8.75
R159,14,28,28,5,5.75
R170,14,32,32,5,7.29
R176,14,8,8,11,12.5
R179,14,76,76,1,3.25
R266,15,28,41,19,31.5
R385,15,8,8,12,12.5
R422,15,77,77,12,13.75
R423,15,28,32,6,6.75
R425,15,32,28,5,5.5
R328,15,32,32,1,7.75
R204,15,2,2,5,9.25
R347,15,3,3,4,5.25
R137,15,8,32,16,13.5
R379,15,8,8,12,12.25
R192,15,28,28,5,5.75
R226,15,28,8,8,9.5
R51,15,32,28,6,6.0
R317,15,28,32,6,8.25
R516,15,60,32,16,16.25
R262,16,28,32,4,5.0
R392,16,32,32,7,10.5
R260,16,28,32,4,7.0
R483,16,28,28,9,8.75
R477,16,28,32,8,7.0
R472,16,2,8,5,5.5
R387,16,3,76,69,58.2
R481,16,33,32,12,13.5
R374,16,8,32,9,7.75
R283,16,28,32,7,10.5
R408,16,28,32,5,5.5
R278,16,32,32,6,7.75
R505,16,8,32,3,5.0
R346,16,21,8,17,16.75
R335,16,8,32,5,7.25
R238,16,8,32,8,10.25
R419,16,28,28,3,5.25
R338,16,33,33,17,14.5
R244,17,44,39,30,30.5
R329,17,1,77,11,8.75
R524,17,28,32,6,6.0
R537,17,32,8,8,7.25
R512,17,8,8,4,4.5
R275,17,24,32,15,12.0
R485,17,32,28,10,8.25
R277,17,28,8,7,6.5
R362,17,6,76,33,41.8
R300,17,28,8,11,9.0
R397,17,32,32,5,9.0
R467,17,6,6,5,6.0
R255,17,28,32,4,6.25
R521,17,8,8,3,5.0
R360,17,8,32,11,14.0
R459,17,28,32,5,5.75
R313,17,14,14,1,3.25
R322,17,32,32,6,7.75
R296,18,32,32,7,10.5
R341,18,8,76,39,57.1
R289,18,32,32,4,5.5
R377,18,28,32,4,5.25
R493,18,32,32,4,5.25
R390,18,32,28,8,7.5
R273,18,8,28,22,20.0
R236,18,28,32,5,8.75
R232,18,8,8,7,5.25
R378,18,32,76,35,53.0
R248,18,28,32,7,11.5
R405,18,2,8,49,31.0
R253,18,28,8,6,10.0
R259,18,6,6,6,10.75
R400,18,8,76,36,58.3
R263,18,3,6,8,8.5
R442,18,76,8,68,64.43
R384,18,28,8,11,12.25
R473,18,32,32,2,8.5
R391,18,7,32,22,18.9
R418,18,8,8,8,7.25
R503,19,32,32,8,9.0
R334,19,8,32,6,8.75
R436,19,8,76,35,51.25
R312,19,8,32,5,11.0
R429,19,33,32,13,13.25
R451,19,53,30,33,41.5
R427,19,8,32,7,9.25
R502,19,8,32,4,5.25
R308,19,32,32,5,9.0
R498,19,8,32,10,8.75
R415,19,32,28,8,8.0
R406,19,32,76,33,53.75
R350,19,3,76,68,47.0
R293,19,76,33,55,67.5
R352,19,33,32,15,11.25
R466,19,22,22,1,3.25
R284,19,28,32,4,5.75
R497,19,6,8,20,15.0
R420,19,7,76,34,43.75
R417,20,32,28,8,11.0
R457,20,6,28,22,29.4
R412,20,7,7,2,4.5
R327,20,58,8,36,24.25
R482,20,33,32,8,8.75
R342,20,28,8,8,8.0
R443,20,28,32,6,8.25
R318,20,8,28,11,12.5
R298,20,28,28,4,5.0
R532,20,7,32,12,9.75
R303,20,32,28,3,5.75
R304,20,8,32,12,12.75
R305,20,32,28,1,5.25
R508,20,8,8,8,7.5
R517,20,8,8,8,10.5
R290,20,32,8,10,10.0
R230,20,8,56,34,49.5
R488,21,28,8,5,6.25
R478,21,28,8,12,12.5
R520,21,32,28,8,6.75
R345,21,8,32,5,5.5
R274,21,8,32,13,10.0
R480,21,76,8,55,57.1
R361,21,28,32,6,6.75
R292,21,8,32,8,7.75
R371,21,28,28,2,4.5
R265,21,8,28,5,8.25
